Folder,Files,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
Total,65,24473,17607,10317,1911,3716,731,3150,32181,191,418
C:\__PR00F__\___developing___\projects\PRooFPS-dd\PRooFPS-dd,65,24473,17607,10317,1911,3716,731,3150,32181,191,418
C:\__PR00F__\___developing___\projects\PRooFPS-dd\PRooFPS-dd\Tests,13,7364,5665,3716,482,1144,258,555,5736,8,18
